Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.538375,-0.647791,0.971682,-727.972046,-792.713928,373.9711
2,0,0.550191,-0.644638,0.992502,-727.93988,-792.741516,373.988342
3,0,0.561546,-0.641905,1.012,-727.935974,-792.676147,374.008514
4,0,-0.281327,-0.694758,-0.425825,-729.404663,-793.346436,374.024323
5,0,-0.288744,-0.693359,-0.43919,-729.446716,-793.328857,374.090271
6,0,-0.304079,-0.691525,-0.464938,-729.404297,-793.325317,374.063049
7,0,-0.319428,-0.689295,-0.490712,-729.441528,-793.318848,374.065796
8,0,-0.325963,-0.688775,-0.502714,-729.340881,-793.33606,374.130005
9,0,-0.333261,-0.687174,-0.514961,-729.442017,-793.384705,374.06485
10,0,0.527408,-0.650314,0.954195,-727.964172,-792.791016,374.025604
11,0,0.54067,-0.648069,0.975871,-727.971802,-792.790955,373.995789
12,0,0.553237,-0.644572,0.996496,-727.94165,-792.807617,374.004608
13,0,0.564882,-0.642429,1.016666,-727.944397,-792.805237,374.028992
14,0,0.576859,-0.638354,1.036239,-727.946594,-792.804504,374.059845
15,0,0.58612,-0.636257,1.051041,-727.928467,-792.786804,374.020355
16,0,-0.175164,-0.709521,-0.253706,-729.63147,-793.722473,374.139252
17,0,-0.170506,-0.709496,-0.246365,-729.638428,-793.763428,374.087799
18,0,-0.164288,-0.710395,-0.235216,-729.57782,-793.71991,374.212585
19,0,-0.179765,-0.708211,-0.261662,-729.736328,-793.744751,374.095551
20,0,-0.186541,-0.707932,-0.273022,-729.726379,-793.701721,374.104858
21,0,-0.18844,-0.70765,-0.276498,-729.734985,-793.748291,374.038422
22,0,-0.181839,-0.70861,-0.265653,-729.641235,-793.752869,374.145264
23,0,-0.188937,-0.707619,-0.276521,-729.73645,-793.734863,374.023346
24,0,-0.194446,-0.707356,-0.286299,-729.792542,-793.769897,374.033051
25,0,-0.188631,-0.707556,-0.277171,-729.735107,-793.714783,374.098816
26,0,-0.194135,-0.707408,-0.286199,-729.697327,-793.738342,374.074951
27,0,-0.199847,-0.706885,-0.295163,-729.750916,-793.702515,374.060974
28,0,-0.193884,-0.707706,-0.285272,-729.690063,-793.690796,374.12619
29,0,-0.180007,-0.709295,-0.261951,-729.481995,-793.555359,374.111328
30,0,-0.17281,-0.708552,-0.248691,-729.805725,-793.737183,374.003571
31,0,0.528454,-0.650483,0.955985,-727.952148,-792.752625,373.990967
32,0,0.541923,-0.647168,0.978882,-727.946777,-792.750793,374.011353
